Data,temperatura_srednia_C,opad_suma_mm,wilgotnosc_srednia_pct
2023-11-01,10.3,0.8,82
2023-11-02,10.7,0.0,72
2023-11-03,12.7,7.5,72
2023-11-04,9.7,1.0,83
2023-11-05,9.0,7.0,85
2023-11-06,10.2,0.2,68
2023-11-07,8.8,0.0,85
2023-11-08,6.7,1.5,89
2023-11-09,6.7,0.0,79
2023-11-10,7.7,0.3,68
2023-11-11,6.8,5.9,89
2023-11-12,5.6,2.1,90
2023-11-13,4.3,0.3,84
2023-11-14,8.4,4.3,80
2023-11-15,7.6,7.1,88
2023-11-16,4.0,0.0,89
2023-11-17,5.1,13.2,93
2023-11-18,1.2,1.9,94
2023-11-19,1.7,1.6,86
2023-11-20,4.1,7.4,91
2023-11-21,5.5,6.8,95
2023-11-22,-1.8,0.2,80
2023-11-23,1.1,0.2,72
2023-11-24,3.3,6.0,86
2023-11-25,-0.3,0.0,82
2023-11-26,-1.5,0.0,78
2023-11-27,-2.3,0.0,75
2023-11-28,-1.2,0.0,93
2023-11-29,-5.1,0.0,87
2023-11-30,-2.2,0.0,84
2023-12-01,-1.3,0.0,95
2023-12-02,-1.6,0.0,95
2023-12-03,-2.9,0.0,90
2023-12-04,-5.8,0.0,83
2023-12-05,-3.4,0.0,82
2023-12-06,-4.4,0.0,93
2023-12-07,-0.8,0.0,95
2023-12-08,-3.5,0.0,94
2023-12-09,-0.7,0.0,90
2023-12-10,0.6,0.1,89
2023-12-11,1.1,0.9,91
2023-12-12,3.3,8.3,91
2023-12-13,2.6,4.8,95
2023-12-14,1.3,0.0,96
2023-12-15,0.5,0.7,90
2023-12-16,2.6,0.0,88
2023-12-17,4.7,0.0,79
2023-12-18,3.9,0.0,76
2023-12-19,2.1,0.0,81
2023-12-20,1.9,3.1,87
2023-12-21,2.4,4.3,85
2023-12-22,2.1,3.3,78
2023-12-23,0.0,0.0,71
2023-12-24,1.9,2.8,86
2023-12-25,9.0,9.6,82
2023-12-26,9.0,0.9,81
2023-12-27,3.7,0.0,75
2023-12-28,4.1,0.8,82
2023-12-29,4.6,0.0,88
2023-12-30,5.1,1.2,87
2023-12-31,4.1,1.0,91
2024-01-01,4.1,11.3,93
2024-01-02,3.5,1.6,85
2024-01-03,6.0,8.7,88
2024-01-04,5.7,5.9,88
2024-01-05,0.5,0.4,87
2024-01-06,3.6,5.1,93
2024-01-07,-5.0,0.0,88
2024-01-08,-10.1,0.0,70
2024-01-09,-14.7,0.0,80
2024-01-10,-12.2,0.0,81
2024-01-11,-4.9,0.1,80
2024-01-12,-4.2,0.0,85
2024-01-13,-1.1,0.2,90
2024-01-14,-0.5,0.1,85
2024-01-15,-1.8,0.0,80
2024-01-16,-3.0,0.0,86
2024-01-17,-2.3,0.0,82
2024-01-18,3.0,5.3,92
2024-01-19,-2.6,0.0,88
2024-01-20,-1.1,0.0,71
2024-01-21,-0.5,0.0,82
2024-01-22,-0.9,0.1,73
2024-01-23,1.2,2.4,84
2024-01-24,1.4,5.0,87
2024-01-25,3.6,7.9,90
2024-01-26,0.9,0.2,86
2024-01-27,2.3,4.6,91
2024-01-28,1.3,1.3,92
2024-01-29,1.1,0.0,84
2024-01-30,0.8,0.0,75
2024-01-31,1.1,0.2,83
2024-02-01,2.2,1.7,87
2024-02-02,2.8,0.2,78
2024-02-03,6.7,2.4,83
2024-02-04,6.5,3.2,82
2024-02-05,6.3,9.9,90
2024-02-06,8.4,0.5,65
2024-02-07,7.1,4.5,73
2024-02-08,1.8,8.3,93
2024-02-09,4.5,7.8,95
2024-02-10,9.2,3.2,86
2024-02-11,9.9,10.5,81
2024-02-12,8.2,3.0,90
2024-02-13,4.9,0.4,83
2024-02-14,3.3,0.1,72
2024-02-15,3.2,0.0,81
2024-02-16,5.2,0.0,74
2024-02-17,6.4,4.5,77
2024-02-18,2.0,0.0,80
2024-02-19,2.6,2.7,81
2024-02-20,6.0,1.8,89
2024-02-21,5.8,0.2,80
2024-02-22,6.5,0.0,72
2024-02-23,7.8,2.7,82
2024-02-24,10.3,0.8,72
2024-02-25,9.7,0.3,82
2024-02-26,10.8,5.7,80
2024-02-27,11.0,0.0,71
2024-02-28,9.6,0.2,79
2024-02-29,9.2,0.6,91
2024-03-01,8.0,0.0,84
2024-03-02,8.4,0.0,84
2024-03-03,7.8,0.5,83
2024-03-04,8.9,1.3,83
2024-03-05,6.9,1.5,90
2024-03-06,4.9,8.1,94
2024-03-07,2.3,1.1,76
2024-03-08,1.3,0.0,73
2024-03-09,3.1,0.0,78
2024-03-10,6.5,2.8,78
2024-03-11,5.5,5.3,88
2024-03-12,6.0,1.7,93
2024-03-13,5.0,1.8,89
2024-03-14,4.6,0.0,83
2024-03-15,4.8,0.0,82
2024-03-16,8.8,1.3,77
2024-03-17,6.2,2.3,74
2024-03-18,0.7,0.0,76
2024-03-19,2.4,0.0,78
2024-03-20,3.9,0.1,81
2024-03-21,4.0,0.0,80
2024-03-22,7.9,4.2,85
2024-03-23,10.1,2.2,75
2024-03-24,4.1,5.8,83
2024-03-25,3.9,2.8,81
2024-03-26,5.9,0.0,69
2024-03-27,10.2,0.0,54
2024-03-28,11.5,1.8,65
2024-03-29,11.5,4.6,67
2024-03-30,16.6,0.0,60
2024-03-31,17.7,0.4,49
2024-04-01,18.9,0.0,47
2024-04-02,11.0,14.5,77
2024-04-03,11.2,0.2,60
2024-04-04,10.8,1.5,81
2024-04-05,12.5,2.7,74
2024-04-06,13.6,0.2,73
2024-04-07,14.6,0.0,71
2024-04-08,17.9,0.0,58
2024-04-09,18.2,0.0,59
2024-04-10,14.9,0.0,70
2024-04-11,12.8,0.0,69
2024-04-12,12.2,0.0,74
2024-04-13,14.2,0.0,73
2024-04-14,16.5,0.0,68
2024-04-15,11.7,12.9,85
2024-04-16,8.4,2.5,78
2024-04-17,6.0,4.6,80
2024-04-18,6.1,0.0,68
2024-04-19,5.7,1.2,71
2024-04-20,7.8,3.4,70
2024-04-21,5.2,0.7,87
2024-04-22,5.1,2.3,77
2024-04-23,5.6,0.0,75
2024-04-24,7.9,6.1,87
2024-04-25,7.0,5.3,81
2024-04-26,8.0,1.2,72
2024-04-27,11.8,3.9,64
2024-04-28,15.0,0.0,59
2024-04-29,16.9,0.0,61
2024-04-30,16.2,0.0,61
2024-05-01,16.7,0.0,60
2024-05-02,16.6,0.0,54
2024-05-03,17.2,0.0,58
2024-05-04,16.1,0.0,61
2024-05-05,17.3,0.1,60
2024-05-06,17.6,0.7,68
2024-05-07,14.3,4.3,71
2024-05-08,11.5,0.0,58
2024-05-09,13.1,0.0,58
2024-05-10,13.3,0.0,60
2024-05-11,12.8,1.5,67
2024-05-12,10.8,0.0,50
2024-05-13,11.6,0.0,52
2024-05-14,13.7,0.0,51
2024-05-15,13.5,0.0,49
2024-05-16,14.8,0.0,48
2024-05-17,14.9,0.0,52
2024-05-18,14.9,0.9,74
2024-05-19,16.9,0.3,71
2024-05-20,17.6,0.2,74
2024-05-21,19.3,0.0,69
2024-05-22,19.2,4.1,75
2024-05-23,17.3,4.4,86
2024-05-24,18.9,0.1,75
2024-05-25,18.9,0.6,69
2024-05-26,18.8,0.8,64
2024-05-27,18.8,0.0,52
2024-05-28,17.6,0.0,63
2024-05-29,18.5,1.2,72
2024-05-30,18.0,0.2,70
2024-05-31,17.9,4.6,78
2024-06-01,19.5,0.8,70
2024-06-02,17.6,4.3,72
2024-06-03,18.6,5.1,79
2024-06-04,17.2,8.7,86
2024-06-05,17.9,2.6,75
2024-06-06,19.9,0.5,69
2024-06-07,20.0,0.0,73
2024-06-08,19.3,0.7,67
2024-06-09,19.4,10.6,80
2024-06-10,19.3,9.8,85
2024-06-11,17.7,0.5,81
2024-06-12,14.7,0.0,64
2024-06-13,13.1,7.9,87
2024-06-14,14.6,0.1,72
2024-06-15,17.7,0.0,66
2024-06-16,18.9,4.4,74
2024-06-17,20.0,0.0,71
2024-06-18,22.4,0.0,66
2024-06-19,25.2,0.0,61
2024-06-20,18.5,0.6,66
2024-06-21,21.9,0.0,64
2024-06-22,23.6,2.3,72
2024-06-23,20.5,0.0,60
2024-06-24,18.2,0.0,68
2024-06-25,19.8,0.2,70
2024-06-26,22.7,0.0,70
2024-06-27,23.0,1.0,76
2024-06-28,23.7,0.1,75
2024-06-29,24.3,1.9,73
2024-06-30,26.2,0.0,65
2024-07-01,21.8,8.5,83
2024-07-02,17.3,6.6,82
2024-07-03,16.9,0.1,68
2024-07-04,18.1,1.7,74
2024-07-05,18.8,0.3,60
2024-07-06,23.0,0.1,59
2024-07-07,24.0,4.9,66
2024-07-08,20.8,31.8,85
2024-07-09,24.2,0.5,76
2024-07-10,26.9,0.0,65
2024-07-11,25.8,0.0,70
2024-07-12,26.0,0.9,69
2024-07-13,25.3,22.2,76
2024-07-14,22.8,1.0,84
2024-07-15,23.7,6.7,79
2024-07-16,26.4,1.6,74
2024-07-17,23.8,10.6,79
2024-07-18,22.1,3.0,71
2024-07-19,21.4,0.0,68
2024-07-20,22.1,0.0,67
2024-07-21,22.0,0.3,72
2024-07-22,22.6,0.0,71
2024-07-23,22.2,2.4,71
2024-07-24,19.9,3.2,78
2024-07-25,17.1,4.3,86
2024-07-26,19.5,0.0,69
2024-07-27,22.6,0.0,59
2024-07-28,22.6,1.6,59
2024-07-29,18.7,0.0,58
2024-07-30,18.9,0.0,61
2024-07-31,20.9,0.0,60
2024-08-01,19.7,2.9,76
2024-08-02,21.2,5.2,76
2024-08-03,17.2,17.8,91
2024-08-04,19.2,0.0,75
2024-08-05,16.8,11.6,90
2024-08-06,17.4,1.3,81
2024-08-07,19.7,0.0,71
2024-08-08,20.8,5.7,77
2024-08-09,18.6,7.5,92
2024-08-10,20.6,0.3,76
2024-08-11,21.1,0.7,72
2024-08-12,19.0,0.0,70
2024-08-13,19.7,0.0,64
